product_id,mrp,usp,net_quantity,product_name,manufacturer,manufacturing_date,expiry_date,consumer_care
image58,200.00Rs254g,200.00Rs254g,NOT_VISIBLE,Dry Fruit House,"ARIETIES OFDRY FRUITS,SPICES,",Packed Date 21-08-2025,NOT_VISIBLE,NOT_VISIBLE
image59,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,YUMMY PLAIN,Manutactured by Baroda Distrit Co-operative Milk Producers'Union Ltd.Vadodara-390 009.,NOT_VISIBLE,EHP31JAH7,1800-258-3333TollFree[6am-9pmcustomercare@amul.coopo GCMMF Ltd.Anand-388 001
image60,200.0,NOT_VISIBLE,7.0,WWW.URBANPLATTER.COM,Manutactured&Packed bySajo Industries,30.0,200.0,NOT_VISIBLE
image61,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,SWEETENED CONDENSED MILK-THIS TIN CONTAINS,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,write to us:customercare@milkymist.com
image62,NOT_VISIBLE,1.8/9,75g,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,20195276,NOT_VISIBLE
image63,NOT_VISIBLE,.10,750,SIMPLE STEPS TO TASTY CHICKEN MASALA,Manufactured & Packed by Everest Food Products Pvt. Ltd.,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image64,NOT_VISIBLE,NOT_VISIBLE,1003R,Sambhar Masala.,Manufactured & Packed by Everest Food Products Pvt. Ltd.,25,NOT_VISIBLE,NOT_VISIBLE
image65,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,Shahi Biryani,tdemork of Everest Food Products Pt.Ltd.,NOT_VISIBLE,NOT_VISIBLE,customercare@everestspices.comwww.everestfoods.com
image66,NOT_VISIBLE,50g,50g,Chicken Biryani Masala,trodemork of Everest Food Products Pt.Ld.,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image67,NOT_VISIBLE,NOT_VISIBLE,10,Fish Curry,Manufactured & Packed by Everest Food Products Pvt.Ltd.,NOT_VISIBLE,c 2,NOT_VISIBLE
image68,AU625JAN27 U280656485F85.000.85g,NOT_VISIBLE,NOT_VISIBLE,Chaat Masala,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image69,APR26MAR27U23073312690.000.90/9,NOT_VISIBLE,NET WEIGHT:100g,Chhole Masala,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image70,AUG250CT26U05064963690.000:90/9,NOT_VISIBLE,NOT_VISIBLE,Pav Bhaji Masala,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image71,000,NOT_VISIBLE,000,Tandoori Chicken Masala,@BadshahMasalaOfficial,NOT_VISIBLE,NOT_VISIBLE,@BadshahMasalaOfficial
image72,100g,100g,100g,Kitchen King,trademark of Everest Food Products Pvt.Ltd.,NOT_VISIBLE,NOT_VISIBLE,customercare@everestspices.comwww.everestfoods.com
image73,NOT_VISIBLE,NOT_VISIBLE,350,Corn Starch,WeiKFiELD,DEC 24 NOV 264L60 Rs.90Rs.0181g,DEC 24 NOV 264L60 Rs.90Rs.0181g,Email:qa_mgr@weikfield.com
image74,01/02/2028,01/02/2028,0.00mg,potatobets,NOT_VISIBLE,01/02/2028,01/02/2028,NOT_VISIBLE
image75,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,: info@pureorganio.com,MEDIAA MINDS:,NOV,NOV,: info@pureorganio.com
image76,10.00,8,129,Mixed Masala Powder,Mixed Masala Powder,NOT_VISIBLE,NO0.25OCT.26,Majithia
image77,0.0mg,0.0mg,NOT_VISIBLE,SUS Shahi Paneer Ma,SDS Overseas Pvt. Ltd.,NOT_VISIBLE,NOT_VISIBLE,E-mail: customer.service@sdsmasala.com
image78,3,3,(Per 100gm),PICKLEMASALA,MASALA,13 03/2302/24,13 03/2302/24,NOT_VISIBLE
image79,100g,03586,100g,NOT_VISIBLE,NOT_VISIBLE,04.,03586,www.suhana.com
image80,MRP40/-,18,Pkg:40g,Dry Gralic Chutney,Mfg By : Best Gruh Udyog,MAY ZI,NOV 2UZ0,NOT_VISIBLE
image81,1800267,0.60,53g,PANEER BUTTER MASALA MIX,NOT_VISIBLE,12.5,1800267,NOT_VISIBLE
image82,Rs.45.00-,NOT_VISIBLE,Wt50g,MUTTER PANEER MIX,Suhana,NOT_VISIBLE,NOT_VISIBLE,Suhana
