product_id,mrp,usp,net_quantity,product_name,manufacturer,manufacturing_date,expiry_date,consumer_care
image16,₹ 260,2.60,50 g,Ramdev Strong Hing,Ramdev Food Products Private Limited,30/05/26,29/11/27,"+91 88893 41234, info@ramdev.co.in"
image17,230.00,0.46/g,550g (500g + 50g Free),Dabur Chyawanprash,DABUR INDIA LIMITED,09/2023,08/2026,"1800-103-1644, daburcares@dabur.com"
image18,150.00,NOT_VISIBLE,100 ml,Sitoma Herbal Cough Syrup,Bhavani Pharmaceuticals,01/2025,12/2027,"91069 80469, maiwaymarketing@gmail.com"
image19,80.00,1.60/1N,50 N,CleanPlus Table Tissues,TAINWALA PERSONAL CARE PRODUCTS PVT. LTD.,FEBRUARY-2026,JULY-2031,"022 71230555, SUGGESTION@DMARTINDIA.COM"
image20,₹ 230.00,Rs. 0.25/g,1 L,Patanjali Kachi Ghani Mustard Oil,Patanjali Foods Limited,07/08/2026,06/08/2027,"1800-180-3120, info@patanjaliayurved.net"
image21,₹ 85/-,₹ 0.17 per g,500 g,White Peas,Packed by: PATEL SHAMBHUBHAI & CO.,06/09/26,Best Before 9 Months From Packaging,1800-233-3335
image22,₹ 40.00,₹ 0.20 per g,200 g,Dalia,Manufactured By: ALIGN RETAIL TRADES PVT. LTD. and Marketed By: AVENUE SUPERMARTS LTD.,13/06/26,10/09/26,"suggestion@dmartindia.com, 022-71230555"
image23,₹ 55.00,₹ 0.55 per g,100 g,Ajwain,Manufactured By: ALIGN RETAIL TRADES PVT. LTD. and Marketed By: AVENUE SUPERMARTS LTD.,19/08/26,17/12/26,"suggestion@dmartindia.com, 022-71230555"
image24,₹ 35.00,₹ 0.07 per g,500 g,Rawa,Manufactured By: ALIGN RETAIL TRADES PVT. LTD. and Marketed By: AVENUE SUPERMARTS LTD.,04/05/26,02/08/26,"suggestion@dmartindia.com, 022-71230555"
image25,₹ 35/-,Rs. 0.51/- per g,68.5 g,MAGGI PASTA MUSHROOM PENNE,Nestlé India Ltd.,15/02/26,Best Before 9 Months From Packaging,1800-103-1644
image26,₹ 70.00,₹ 0.14 per g,450g (50g Extra),Aloo Bhujia Sev,Haldiram's Snacks Food Pvt. Ltd.,26/07/26,25/07/27,"customerservice@haldirams.com, 0120-2530000"
image27,₹ 50.00,₹ 0.10 per g,500 g,Barik Rawa (Semolina),Marketed by: SCOTREEY LOGISTICS PRIVATE LIMITED and Packed by: Popular Essentials Inc.,16/02/2026,15/05/2026,"080-45664999, support.sh@scootsy.com"
image28,325,USP Rs.0.64/g,500 g,ARABIAN PEARLS PREMIUM FARD DATES,Imported by: Shaktiman Consumer Products Limited and Processed & Packed by: Apis India Limited,06/08/2026,05/06/2027,"consumer@apisindia.com, +91-11-43206666"
image29,₹ 146.00,₹ 15.55/M,9 m,FRESHRAPP FOOD GRADE ALUMINIUM FOIL,Mfg. & Mktd. by: Hindalco Industries Ltd.,MAY 2026,7 YEARS FROM MANUFACTURING,"foilcare@adityabirla.com, 1800-266-4100"
image30,Rs.289.00,Rs.14.45,1 Roll of 278mm x 20 m,Oddy Uniwraps Paper Foil,Manufactured by: Atul Paper Pvt. Ltd. and Marketed by: UPL Innovations Pvt. Ltd.,JAN 2025,Best before 6 years from date of Pkg.,"upilinnovations@gmail.com, 8658399400"
image31,₹ 25/-,₹ 0.05 per g,500 g,Uttam Superfine Maida,Manufactured & Packed by: SHREE BHAGWATI FLOUR & FOODS PVT. LTD.,31/05/26,24/07/26,"bhagwatiexports@gmail.com, +91-95740 08405"
image32,₹ 62.00,₹ 31 per kg,2 kg,Tata Salt,Mkt by: Tata Consumer Products Limited and Mfg by: Tata Chemicals Limited,JUL/26,JUN/28,"care@tataconsumer.com, 1800 108 4488"
image33,₹ 135.00,₹ 0.27 per g,500 g,Blue Bird Pasta Fusilli,UNITED AGRO INDUSTRIES,09/07/26,08/01/28,"customercare@bluebird.co.in, 9091-22-2405 5333"
image34,₹ 79.00,₹ 0.16 per g,500 g,Chawli Big,Manufactured By: ALIGN RETAIL TRADES PVT. LTD. and Marketed By: AVENUE SUPERMARTS LTD.,14/06/26,12/10/26,"suggestion@dmartindia.com, 022-71230555"
image35,₹ 75.00,₹ 0.75 per 100 g,1 kg,Chana Dal,Manufactured By: ALIGN RETAIL TRADES PVT. LTD. and Marketed By: AVENUE SUPERMARTS LTD.,22/06/26,20/10/26,"suggestion@dmartindia.com, 022-71230555"
image36,₹ 91.00,₹ 0.09 per g,1 kg,Poha Jada,Manufactured By: ALIGN RETAIL TRADES PVT. LTD. and Marketed By: AVENUE SUPERMARTS LTD.,20/07/26,17/11/26,"suggestion@dmartindia.com, 022-71230555"
image37,₹ 200.00,₹ 0.20 per g,1 kg,Turdal Latur Red Gram (Arhar),Manufactured By: ALIGN RETAIL TRADES PVT. LTD. and Marketed By: AVENUE SUPERMARTS LTD.,28/07/26,25/11/26,"suggestion@dmartindia.com, 022-71230555"
image38,₹ 150.00,₹ 75.00,2 N (2 ROLLS),CleanPlus Kitchen Tissue Rolls,"Manufactured & Packed By: S S Paper Convertors, Vijay Anand Speciality Papers Pvt. Ltd., Tainwala Personal Care Products Pvt. Ltd. and Marketed by: Avenue Supermarts Limited (ASL)",JUL/2026,JUN/2031,"suggestion@dmartindia.com, 022-71230555"
image39,₹ 240/-,1.71/-,140 gm,Satvik Foods Roasted Rose Leaf,SATVIK FOODS,18-07-2026,17-04-2027,"satvikfoodsindia@gmail.com, +91 7043 313 444"
image40,₹ 185.00,0.19/ML,1 LTR,Ashtang Herbs Shudh Amala Ras,ASHTANG HEALTH CARE PVT. LTD.,03/26,02/29,"ashtanghealthcare@gmail.com, +918879208811"
image41,₹ 150.00,₹ 0.50 / g,300 g,Veeba Select Chipotle Southwest Dressing,VRB Consumer Products Pvt. Ltd.,12/09/26,12/09/27,"hello@veeba.in, 0124-4653250"
image42,₹ 50.00,₹ 0.55 / g,90 g,Ching's Secret Green Chilli Sauce,Capital Foods Pvt. Ltd.,02/04/26,01/04/27,"customercare@capitalfoods.co.in, 1800-266-3848"
image43,₹ 120.00,₹ 0.40 / g,200 g,Wok Tok by Veeba Red Chilli Sauce,VRB Consumer Products Pvt. Ltd.,22 JAN 2026,21 JUL 2027,"hello@woktok.com, 0124-4653250"
image44,₹ 60.00,₹ 0.29 / g,210 g,Ching's Secret Dark Soy Sauce,Capital Foods Pvt. Ltd.,23/04/2025,22/10/2026,"customercare@capitalfoods.co.in, 1800-266-3848"
image45,₹ 144.00,₹ 0.32 / g,450 g,Glucon-D,Zydus Wellness Products Limited,14/04/26,13/04/28,"consumerfeedback@zyduswellness.com, 1800 233 0340"
image46,₹ 99.00,₹ 0.31 / g,315 g,Dr. Oetker FunFoods Pizza Topping All-in-One,Dr. Oetker India Pvt. Ltd.,02/04/26,30/09/26,"care@oetker.in, 011-46055000"
image47,₹ 150.00,₹ 0.50 / g,300 g,Veeba Select American Mustard Sauce,VRB Consumer Products Pvt. Ltd.,06 MAY 26,05 MAY 27,"hello@veeba.in, 0124-4653250"
image48,₹ 360.00,NOT_VISIBLE,410 g,Praise Traditional Mayo,R. R. Universal Pvt. Ltd.,05/05/26,NOT_VISIBLE,"info@rruniversal.in, 022-22007387"
image49,₹ 89.00,₹ 1.79/G,NOT_VISIBLE,Swastik Brand Sat-Isabgol,Gujarat Sat Isabgol Factory,APR 26,OCT 27,NOT_VISIBLE
image50,₹ 195.00,₹ 6.50 per ml,30 ml,Jolly Tulsi 51 Drops,Jolly Pharm India,08/23,08/26,"jolly@jollypharmindia.com, 0161-2501850"
image51,₹ 435.00,₹ 0.72 / g,600 g,Hershey's Syrup Chocolate Flavor,Hershey India Pvt. Ltd.,08/07/26,02/08/27,"consumer.care@hersheys.com, 1800-120-6373"
image52,₹ 40.00,₹ 0.053,750 ml,Pepsi,PepsiCo India Holdings Pvt. Ltd.,05/08/26,02/12/26,"consumer.feedback@pepsico.com, 1800-224-001"
image53,₹ 69.42,Per bottle of 5ml,4 x 5 ml,Calcigen D3 Nano,Cadila Pharmaceuticals Limited,MAY 2026,OCT 2027,NOT_VISIBLE
image54,₹ 131.54,NOT_VISIBLE,2 x 4 Capsules,D-Rise 60K,Softech Pharma Pvt. Ltd.,OCT 2025,SEP 2027,NOT_VISIBLE
image55,₹ 10.00,Rs. 0.62 per g,16 g,Cadbury 5 Star,Mondelez International group,NOT_VISIBLE,NOT_VISIBLE,1800-22-3800
image56,NOT_VISIBLE,NOT_VISIBLE,200 g,Amul Mithai Mate,Mehsana District Co-operative Milk Producers' Union Limited,NOT_VISIBLE,NOT_VISIBLE,1800-258-3333
image57,₹ 10.00,0.83 per g,12.1 g,Cadbury Dairy Milk,Mondelez India Foods Limited,NOT_VISIBLE,NOT_VISIBLE,1800-22-3800
image58,₹ 100.00,200.00Rs,250 g,Dry Fruit House Flax Seeds (Roasted & Salted),Dry Fruit House,21-08-2025,NOT_VISIBLE,NOT_VISIBLE
image59,₹ 115.00,₹ 0.58 / g,200 g,Amul Cheese Spread Yummy Plain,Baroda District Co-operative Milk Producers' Union Limited,06/MAY/26,31/JAN/27,1800-258-3333
image60,300.00,NOT_VISIBLE,170 g,Urban Platter Gochujang,Sajo Industries,13.08.2025,12.02.2027,"+91-7028088359, customercare@istoredirect.com"
image61,155.00,NOT_VISIBLE,395 g,Milky Mist Sweetened Condensed Milk,Milky Mist Dairy Food Private Limited,NOT_VISIBLE,NOT_VISIBLE,"1800-419-9000, customercare@milkymist.com"
image62,99.00,₹ 1.8/g,75 g,Cadbury Bournville Fruit & Nut 50% Dark,Mondelez India Foods Private Limited,03/07/26,23/03/27,1800-22-7080
image63,60.00,1.20/g,50g,Everest Chicken Masala,Everest Food Products Pvt. Ltd.,25FEB26,25FEB27,"+91-22-25259915, customer.care@everestspices.com"
image64,90.00,0.90/g,100g,Everest Sambhar Masala,Everest Food Products Pvt. Ltd.,FEB 25,FEB 27,"+91-22-25259915, customer.care@everestspices.com"
image65,83.00,1.66/g,50g,Everest Shahi Biryani Masala,Everest Food Products Pvt. Ltd.,JUN 25,AUG 26,"+91-22-25259915, customer.care@everestspices.com"
image66,69.00,0.69/g,100g,Everest Chicken Biryani Masala,Everest Food Products Pvt. Ltd.,MAY 25,MAY 26,"+91-22-25259915, customer.care@everestspices.com"
image67,50.00,0.50/g,100g,Everest Fish Curry Masala,Everest Food Products Pvt. Ltd.,JUL 25,OCT 26,"+91-22-25259915, customer.care@everestspices.com"
image68,85.00,0.85/g,100g,Everest Chaat Masala,Everest Food Products Pvt. Ltd.,JAN 25,JAN 27,"+91-22-25259915, customer.care@everestspices.com"
image69,90.00,0.90/g,100g,Everest Chhole Masala,Everest Food Products Pvt. Ltd.,APR 25,APR 27,"+91-22-25259915, customer.care@everestspices.com"
image70,90.00,0.90/g,100g,Everest Pav Bhaji Masala,Everest Food Products Pvt. Ltd.,AUG 25,OCT 26,"+91-22-25259915, customer.care@everestspices.com"
image71,35.00,0.35/g,100g,Badshah Tandoori Chicken Masala,Badshah Masala Private Limited,17/01/2026,16/07/2027,"1800-103-1644, care@badshahmasala.com"
image72,₹ 90.00,₹ 0.90/g,100g,Kitchen King Masala,Everest Food Products Pvt. Ltd.,23/07/26,23/07/27,customercare@everestspices.com
image73,Rs. 90/-,Rs. 0.28 /g,500g,Weikfield Corn Starch,Weikfield Foods Pvt. Ltd.,DEC 24,NOV 26,1800 209 0663 / fmhi@weikfield.com
image74,₹ 100/-,₹ 1.00/g,40g,Hylon PotatoBets,Anand and Sons Pet Pvt. Ltd.,02/02/26,01/02/28,info@anandsons.in
image75,₹ 396.00,₹ 1.13,350gm,pureOrganio Turmeric Powder,Media Minds,28 NOV 25,28 NOV 26,info@pureorganio.com
image76,₹ 10.00,₹ 0.83,12g,Majithia Meat Masala,Majithia Masala,AUG 25,OCT 25,contact@majithiamasala.in
image77,₹ 30.00,₹ 0.75/g,2 x 20g = 40g,SDS Shahi Paneer Masala,SDS Overseas Pvt. Ltd.,SEP 24,MAR 27,customer.service@sdsmasala.com
image78,₹ 63/-,₹ 0.63,100g,Spyrun Pickle Masala,Spyrun Masala Mill,03/03/23,02/24,spyrunmasalamill@gmail.com
image79,₹ 35.00,₹ 0.35,100g,Suhana Kanda Lasun Masala,Suhana Masalewale,04/07/26,03/04/26,suhana@suhana.com
image80,₹ 40/-,₹ 1/g,40 g,Best Dry Garlic Chutney,Best - Gruh Udyog,2 MAY 2026,NOV 2026,90169 69133
image81,₹ 28.00,₹ 0.62,45 g,Rasoi Magic Paneer Butter Masala,Dhara Manufacturing India Ltd.,13/12/25,15/09/26,care@rasoimagic.com
image82,₹ 42.00,₹ 0.84/g,50g,Suhana Paneer Butter Masala Mix & Mutter Paneer Mix,Suhana Masalewale,"19/12/25, 12/12/25","18/12/26, 11/12/26",suhana@suhana.com
